# file...... /home/daviddiaz/Documents/react/backend-simulador/uploads/66a7ee75e0a2800466cf3b80/records/data_solar.csv
# date...... Mon Jul 29 13:45:27 2024
# user...... daviddiaz
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,P_Out, Q_Out, V_In
2009-01-01 00:21:20 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:25 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:30 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:35 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:40 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:45 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:50 PST,+0,-0,+27.2723+0i
2009-01-01 00:21:55 PST,+0,-0,+27.2723+0i
2009-01-01 00:22:00 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:05 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:10 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:15 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:20 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:25 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:30 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:35 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:40 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:45 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:50 PST,+0,-0,+27.2724+0i
2009-01-01 00:22:55 PST,+0,-0,+27.2724+0i
2009-01-01 00:23:00 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:05 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:10 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:15 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:20 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:25 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:30 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:35 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:40 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:45 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:50 PST,+0,-0,+27.2725+0i
2009-01-01 00:23:55 PST,+0,-0,+27.2725+0i
2009-01-01 00:24:00 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:05 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:10 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:15 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:20 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:25 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:30 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:35 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:40 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:45 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:50 PST,+0,-0,+27.2726+0i
2009-01-01 00:24:55 PST,+0,-0,+27.2726+0i
2009-01-01 00:25:00 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:05 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:10 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:15 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:20 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:25 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:30 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:35 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:40 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:45 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:50 PST,+0,-0,+27.2727+0i
2009-01-01 00:25:55 PST,+0,-0,+27.2727+0i
2009-01-01 00:26:00 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:05 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:10 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:15 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:20 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:25 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:30 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:35 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:40 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:45 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:50 PST,+0,-0,+27.2728+0i
2009-01-01 00:26:55 PST,+0,-0,+27.2728+0i
2009-01-01 00:27:00 PST,+0,-0,+27.2729+0i
2009-01-01 00:27:05 PST,+0,-0,+27.273+0i
2009-01-01 00:27:10 PST,+0,-0,+27.273+0i
2009-01-01 00:27:15 PST,+0,-0,+27.273+0i
2009-01-01 00:27:20 PST,+0,-0,+27.273+0i
2009-01-01 00:27:25 PST,+0,-0,+27.273+0i
2009-01-01 00:27:30 PST,+0,-0,+27.273+0i
2009-01-01 00:27:35 PST,+0,-0,+27.273+0i
2009-01-01 00:27:40 PST,+0,-0,+27.273+0i
2009-01-01 00:27:45 PST,+0,-0,+27.273+0i
2009-01-01 00:27:50 PST,+0,-0,+27.273+0i
2009-01-01 00:27:55 PST,+0,-0,+27.273+0i
2009-01-01 00:28:00 PST,+0,-0,+27.273+0i
2009-01-01 00:28:05 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:10 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:15 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:20 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:25 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:30 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:35 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:40 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:45 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:50 PST,+0,-0,+27.2731+0i
2009-01-01 00:28:55 PST,+0,-0,+27.2731+0i
2009-01-01 00:29:00 PST,+0,-0,+27.2731+0i
2009-01-01 00:29:05 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:10 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:15 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:20 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:25 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:30 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:35 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:40 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:45 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:50 PST,+0,-0,+27.2732+0i
2009-01-01 00:29:55 PST,+0,-0,+27.2732+0i
2009-01-01 00:30:00 PST,+0,-0,+27.2732+0i
2009-01-01 00:30:05 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:10 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:15 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:20 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:25 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:30 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:35 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:40 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:45 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:50 PST,+0,-0,+27.2733+0i
2009-01-01 00:30:55 PST,+0,-0,+27.2733+0i
2009-01-01 00:31:00 PST,+0,-0,+27.2733+0i
2009-01-01 00:31:05 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:10 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:15 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:20 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:25 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:30 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:35 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:40 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:45 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:50 PST,+0,-0,+27.2734+0i
2009-01-01 00:31:55 PST,+0,-0,+27.2734+0i
2009-01-01 00:32:00 PST,+0,-0,+27.2734+0i
2009-01-01 00:32:05 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:10 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:15 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:20 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:25 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:30 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:35 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:40 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:45 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:50 PST,+0,-0,+27.2735+0i
2009-01-01 00:32:55 PST,+0,-0,+27.2735+0i
2009-01-01 00:33:00 PST,+0,-0,+27.2735+0i
2009-01-01 00:33:05 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:10 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:15 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:20 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:25 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:30 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:35 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:40 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:45 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:50 PST,+0,-0,+27.2736+0i
2009-01-01 00:33:55 PST,+0,-0,+27.2736+0i
2009-01-01 00:34:00 PST,+0,-0,+27.2736+0i
2009-01-01 00:34:05 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:10 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:15 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:20 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:25 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:30 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:35 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:40 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:45 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:50 PST,+0,-0,+27.2737+0i
2009-01-01 00:34:55 PST,+0,-0,+27.2737+0i
2009-01-01 00:35:00 PST,+0,-0,+27.2737+0i
2009-01-01 00:35:05 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:10 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:15 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:20 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:25 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:30 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:35 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:40 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:45 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:50 PST,+0,-0,+27.2738+0i
2009-01-01 00:35:55 PST,+0,-0,+27.2738+0i
